Time,visa,mastercard,union,bnu,boc,hsbc
2024-03-26 07:38:28.317367,5.33952605,5.343,5.357587,5.3589,5.3731,5.388556
2024-03-26 11:38:38.089210,5.33952605,5.343,5.357587,5.3987,5.3705,5.3895875
2024-03-27 03:38:01.293173,5.33488606,5.33633,5.345186,5.3448,5.3575,5.3751465
2024-03-27 07:36:38.720978,5.33488606,5.33633,5.345186,5.3448,5.3626,5.3772095
